rainfall,temperature,humidity,soil_moisture,wind_speed,drought
153,40.3,78,13,11,0
7,29.87,30,46,31,0
16,36.19,65,38,17,0
52,29.98,21,40,26,0
26,40.44,20,58,22,1
41,39.59,74,45,3,0
72,26.36,65,54,2,0
191,18.97,92,42,16,0
17,24.2,92,19,3,0
152,44.57,33,14,2,1
64,20.95,71,34,23,0
196,24.14,57,8,34,0
123,36.24,45,16,10,0
13,34.35,62,48,8,0
139,32.83,34,37,32,0
200,42.47,48,39,14,0
112,34.1,72,32,23,0
43,21.95,17,35,23,0
32,27.74,20,20,18,1
66,33.86,19,10,13,0
61,41.98,77,60,7,0
9,23.62,39,8,18,0
187,35.28,99,50,2,0
144,41.18,52,40,7,0
22,24.51,36,24,25,0
72,22.74,49,33,30,0
69,31.42,79,30,3,0
161,33.66,92,17,8,0
97,20.89,43,13,3,0
129,36.66,40,22,21,0
54,28.32,82,13,34,0
60,28.69,21,20,32,0
57,38.82,91,10,8,0
21,36.28,80,6,26,1
183,26.58,82,10,5,0
113,40.71,26,43,23,0
57,32.72,78,54,10,0
54,37.41,87,60,1,0
93,28.42,18,43,4,0
124,20.15,89,11,31,0
71,29.3,29,6,18,0
83,44.16,16,20,7,1
117,20.55,100,59,10,0
14,30.23,82,57,34,0
165,31.99,53,35,30,0
124,34.46,35,36,0,0
69,28.87,60,11,26,0
107,22.0,86,50,4,0
7,38.61,57,42,4,0
80,21.61,45,11,17,0
133,38.31,83,36,19,0
187,31.79,91,40,18,0
132,26.63,78,55,32,0
127,22.78,24,52,1,0
49,39.79,46,43,25,0
72,33.31,28,17,6,0
24,22.5,54,12,14,0
134,38.44,47,50,9,0
189,28.08,58,29,35,0
117,19.27,95,18,14,0
134,34.67,18,46,35,0
143,29.77,90,60,16,0
26,34.04,17,27,1,0
29,18.55,69,37,8,0
174,35.53,19,44,28,0
110,27.52,88,15,24,0
49,26.42,69,15,34,0
182,36.26,48,56,29,0
118,36.74,40,35,2,0
19,26.79,72,41,21,0
30,44.63,78,55,32,0
65,34.34,40,39,28,0
160,38.79,94,38,34,0
1,22.93,60,5,24,0
148,20.04,30,54,13,0
89,20.94,70,23,22,0
83,24.63,94,6,24,0
74,44.03,73,54,31,0
10,19.23,84,38,0,0
46,27.42,76,7,33,0
162,20.17,51,47,27,0
104,24.95,72,8,16,0
79,28.77,44,27,1,0
62,24.48,19,10,14,0
56,28.29,21,22,4,0
54,27.19,28,60,15,0
136,18.58,86,38,6,0
169,39.74,47,12,18,0
48,36.52,20,41,8,1
75,21.93,33,59,18,0
168,24.36,37,13,12,0
71,34.65,62,27,22,0
112,40.26,28,57,3,0
79,37.77,64,10,3,0
138,35.4,49,24,10,0
18,21.16,50,58,5,0
88,36.38,76,45,24,0
13,25.29,77,34,0,0
198,24.76,51,45,33,0
84,27.65,64,8,35,0
24,25.41,66,13,10,0
23,34.36,34,22,29,1
117,24.76,42,5,16,0
50,23.83,74,30,16,0
51,24.81,59,12,25,0
33,40.57,27,57,5,1
161,29.57,48,55,12,0
167,27.07,55,43,27,0
44,44.44,27,25,30,1
163,40.56,17,48,31,0
83,21.54,56,44,3,0
144,42.27,92,60,28,0
171,19.31,83,16,28,0
17,42.04,71,59,29,0
47,36.03,31,44,26,1
129,23.6,81,19,27,0
17,39.76,59,55,5,0
192,18.8,50,50,33,0
1,25.87,98,20,4,0
23,24.85,66,34,14,0
197,29.8,23,60,31,0
87,35.32,86,13,12,0
106,37.29,93,15,15,0
147,26.07,80,33,25,0
198,40.32,40,37,2,0
58,41.3,79,10,32,0
58,37.32,28,13,20,1
143,37.65,53,5,29,0
176,28.02,99,34,3,0
63,22.39,66,31,26,0
37,26.78,39,54,23,0
120,39.27,17,49,13,0
170,27.39,40,15,16,0
196,32.43,27,26,23,0
48,28.7,22,42,8,0
155,22.85,20,7,8,0
146,40.33,61,29,34,0
91,19.79,82,55,15,0
54,35.68,46,37,5,0
47,28.31,42,23,12,0
86,25.98,50,43,16,0
74,42.13,59,42,2,0
182,34.04,52,7,6,0
59,23.24,84,17,10,0
104,27.75,22,56,11,0
127,42.02,55,45,24,0
81,33.92,50,55,15,0
89,26.21,30,26,27,0
149,26.82,92,9,29,0
65,44.15,59,50,25,0
141,23.16,97,31,10,0
124,26.2,63,38,14,0
27,42.93,41,55,34,0
14,21.15,36,14,13,0
4,37.42,26,44,1,1
72,29.42,56,29,29,0
126,31.54,73,24,12,0
66,30.71,98,14,26,0
150,33.85,32,30,17,0
92,40.13,53,12,15,0
109,37.65,65,44,20,0
46,39.15,57,20,23,1
46,23.1,31,48,30,0
27,44.36,96,56,18,0
18,38.44,17,31,33,1
105,40.78,70,29,31,0
73,40.61,29,56,30,0
11,41.19,19,58,4,1
180,39.78,55,59,30,0
121,37.52,49,36,17,0
144,42.07,64,5,32,0
41,40.97,36,10,35,1
45,36.4,90,10,35,1
31,31.82,66,22,29,0
62,25.27,89,45,11,0
169,40.73,63,47,32,0
92,25.39,60,24,10,0
171,18.08,65,29,13,0
105,26.4,99,38,18,0
94,40.9,34,24,8,1
21,32.9,38,55,0,0
60,20.98,22,13,16,0
87,23.37,70,20,28,0
16,36.24,99,14,2,1
65,32.32,39,46,22,0
1,42.25,17,41,0,1
109,32.06,72,44,18,0
163,32.99,70,30,2,0
121,30.19,17,31,1,0
34,22.15,85,15,5,0
78,28.98,78,21,23,0
70,22.52,27,44,6,0
56,22.67,62,38,5,0
143,43.36,49,8,25,0
106,20.23,17,34,35,0
190,43.86,33,25,15,0
194,20.13,81,18,32,0
10,23.67,44,49,31,0
196,43.3,16,37,19,0
63,28.27,82,41,29,0
92,31.53,71,49,35,0
6,33.21,93,6,0,0
6,38.31,80,26,12,0
48,36.63,38,24,32,1
175,31.75,64,12,35,0
161,31.62,75,56,9,0
198,42.95,78,60,34,0
47,26.48,83,36,6,0
171,26.92,78,48,3,0
73,44.14,81,19,34,0
179,41.94,83,35,19,0
200,36.75,93,46,28,0
155,21.96,78,8,16,0
65,19.2,40,33,3,0
26,27.28,43,60,22,0
135,25.31,34,10,33,0
80,43.01,49,52,1,0
163,30.53,48,40,11,0
152,42.29,86,37,12,0
58,22.26,59,55,35,0
109,28.47,35,6,33,0
83,41.6,91,30,12,0
23,44.34,80,20,2,1
150,39.51,57,33,17,0
77,22.62,49,26,18,0
54,30.2,30,50,23,0
57,28.83,48,39,18,0
119,38.32,27,58,24,0
11,42.82,16,26,12,1
118,41.89,36,12,11,0
48,32.02,77,6,23,0
123,37.48,63,11,4,0
45,35.51,80,53,17,0
8,19.12,94,55,31,0
91,33.12,79,32,35,0
48,32.8,74,22,8,0
145,23.02,97,37,16,0
17,22.59,22,37,29,0
26,21.83,53,9,29,0
20,40.68,68,23,6,1
71,27.29,65,54,8,0
5,26.95,47,54,5,0
93,21.92,94,23,25,0
110,21.41,29,17,17,0
77,27.29,85,21,10,0
44,43.12,51,22,11,1
72,38.12,25,22,0,1
187,34.43,30,26,19,0
125,19.03,28,26,32,0
74,26.23,57,26,5,0
32,39.09,96,31,15,0
113,31.38,46,11,10,0
46,30.76,82,24,8,0
1,30.36,35,13,9,0
163,21.53,41,38,16,0
28,29.65,39,11,6,0
109,31.33,48,53,35,0
156,35.82,59,30,2,0
142,44.5,77,60,18,0
65,41.52,97,46,31,0
104,37.22,65,46,24,0
22,22.53,33,29,6,0
8,39.03,47,28,7,0
32,22.86,47,27,2,0
16,31.54,75,16,23,0
129,32.97,59,6,10,0
155,21.0,73,33,13,0
143,24.26,26,52,8,0
43,41.4,84,39,18,0
34,21.4,92,23,5,0
123,35.65,47,9,13,0
59,19.04,76,36,4,0
135,27.31,45,46,35,0
94,28.43,66,25,31,0
126,23.88,87,58,28,0
69,18.76,72,23,30,0
121,41.3,32,21,4,1
177,18.05,57,23,23,0
159,21.39,57,37,1,0
25,22.62,96,57,29,0
127,30.18,93,42,31,0
176,21.09,88,15,24,0
17,25.83,43,12,35,0
144,30.53,75,17,28,0
21,33.2,20,15,17,1
13,20.83,28,46,31,0
50,37.2,61,25,13,0
59,36.7,78,37,2,0
90,26.11,76,51,4,0
178,29.72,94,52,33,0
165,27.55,45,8,3,0
74,23.02,96,17,8,0
188,31.31,60,18,2,0
2,21.87,42,16,31,0
61,21.09,72,53,4,0
139,28.49,68,16,11,0
163,42.56,23,41,31,0
58,34.48,86,53,33,0
82,25.18,21,12,35,0
14,34.28,25,25,1,0
31,31.08,56,36,27,0
85,31.52,20,48,6,0
171,22.26,53,55,23,0
46,29.42,74,60,17,0
180,23.58,41,56,23,0
82,34.63,41,55,1,0
46,31.13,87,41,15,0
0,35.49,95,54,19,0
71,27.36,53,17,30,0
116,39.19,55,23,18,0
199,40.48,86,38,32,0
25,41.93,46,7,1,1
171,44.45,19,50,1,0
186,42.32,79,24,4,0
185,32.56,27,12,11,0
200,38.99,68,18,12,0
150,44.45,61,57,23,0
61,35.74,81,46,13,0
167,35.28,70,24,27,0
104,38.39,41,44,0,0
3,39.48,78,20,13,1
193,22.05,25,23,26,0
19,19.86,22,19,27,1
112,19.9,98,28,24,0
79,39.02,79,5,22,0
175,38.97,98,29,35,0
141,28.47,68,9,33,0
62,44.48,65,44,19,0
73,22.35,57,34,32,0
194,34.16,25,52,7,0
31,19.68,77,31,33,0
122,36.73,32,21,28,1
112,29.61,55,22,8,0
36,43.16,22,53,18,1
107,18.83,40,45,14,0
160,39.41,58,34,8,0
86,37.99,39,47,20,0
117,34.69,50,10,28,0
11,44.13,33,60,26,1
28,38.65,63,5,34,1
145,39.33,18,40,31,0
143,28.48,17,50,17,0
47,35.48,57,12,21,1
165,42.55,89,8,29,0
76,22.4,78,45,18,0
70,29.97,52,42,15,0
10,43.78,96,31,35,0
139,26.91,60,8,25,0
125,23.53,46,24,22,0
24,20.28,20,38,4,0
66,24.79,54,15,2,0
22,18.12,28,58,22,0
112,43.77,23,59,5,0
165,34.54,96,51,15,0
150,38.12,39,46,9,0
167,35.28,28,41,2,0
193,30.88,80,5,2,0
196,32.93,87,16,30,0
172,40.74,32,8,33,1
65,33.01,44,42,5,0
53,24.59,62,38,31,0
51,26.41,86,43,2,0
192,25.04,16,37,21,0
5,27.93,72,17,6,0
4,24.17,21,49,7,0
164,19.77,70,48,12,0
38,22.24,87,53,18,0
127,26.61,61,16,9,0
30,22.36,89,31,23,0
156,21.89,40,59,3,0
124,19.4,35,5,13,0
103,34.6,96,31,35,0
92,21.28,64,42,0,0
126,20.35,41,21,9,0
141,19.42,43,8,18,0
152,42.73,55,24,25,0
29,23.68,60,51,10,0
90,42.75,48,29,33,0
169,21.75,93,36,6,0
45,39.43,29,46,23,1
105,25.99,44,17,31,0
40,23.77,79,30,0,0
95,39.01,23,49,20,0
141,36.13,65,15,3,0
158,38.56,39,7,32,0
129,39.07,81,8,9,0
10,23.62,21,48,32,0
174,35.86,36,25,23,0
7,20.44,64,7,33,0
83,23.97,60,59,31,0
124,30.95,61,39,19,0
138,20.87,67,58,14,0
70,31.59,81,46,14,0
164,36.34,90,36,19,0
69,18.27,84,28,7,0
137,43.13,93,27,3,0
135,18.73,64,47,27,0
34,30.37,59,6,1,0
118,43.11,65,15,34,0
190,37.49,22,43,17,0
116,34.47,27,7,13,0
81,40.7,20,53,4,0
110,35.78,32,5,25,1
197,35.55,21,55,26,0
26,40.29,74,8,25,1
190,25.01,86,21,25,0
88,24.32,84,19,17,0
58,25.29,94,40,5,0
84,21.82,22,28,2,0
55,33.92,87,54,2,0
31,36.53,96,51,15,0
24,27.32,18,33,31,0
7,44.74,62,59,5,0
6,34.21,34,18,24,1
98,30.29,28,48,19,0
26,34.84,64,60,28,0
41,19.64,70,41,32,0
107,19.38,34,50,4,0
150,19.17,74,39,28,0
40,26.45,54,48,27,0
56,41.5,77,23,27,0
42,37.44,79,45,9,0
93,38.81,56,15,2,0
112,33.51,51,46,32,0
186,18.4,70,22,19,0
27,35.5,75,51,30,0
17,20.17,93,5,5,0
113,33.5,71,45,19,0
41,39.26,71,12,10,1
196,38.11,35,21,7,0
39,23.72,80,27,12,0
58,42.45,52,6,33,0
196,27.81,97,47,32,0
39,31.8,62,50,20,0
128,20.01,49,12,27,0
61,35.5,54,48,11,0
62,20.19,25,10,5,0
143,36.11,72,16,34,0
46,23.28,53,54,30,0
192,22.53,95,22,26,0
7,25.77,47,25,28,0
44,42.41,90,42,34,0
149,44.32,31,19,4,1
166,33.53,37,50,8,0
175,21.27,93,20,5,0
162,36.8,19,56,7,0
122,25.75,89,46,33,0
196,37.98,73,24,0,0
129,24.77,71,59,21,0
106,41.7,78,27,4,0
151,37.41,73,37,5,0
35,21.21,52,49,12,0
16,33.31,15,16,3,1
114,36.66,72,23,16,0
129,31.93,57,45,0,0
103,18.31,28,39,17,0
22,34.49,51,26,15,0
140,29.69,39,53,21,0
118,43.0,90,42,27,0
134,24.82,91,29,5,0
95,40.28,92,51,15,0
67,41.2,94,15,11,0
186,31.92,16,56,9,0
187,22.78,99,18,0,0
25,33.04,68,37,1,0
84,24.96,95,51,9,0
79,23.33,46,28,12,0
100,19.93,97,17,9,0
149,20.96,55,5,29,0
190,31.6,81,21,5,0
56,21.39,49,17,24,0
176,36.95,78,6,31,0
78,30.01,38,60,24,0
12,19.02,32,28,0,0
172,31.2,39,6,5,0
112,35.91,92,55,35,0
100,34.62,25,33,4,0
6,23.81,90,48,2,0
75,33.53,82,21,28,0
198,39.68,75,13,35,0
102,32.92,88,48,12,0
116,32.27,73,60,14,0
76,40.85,91,12,11,0
158,22.99,73,35,5,0
95,23.8,80,17,14,0
58,24.64,26,56,32,0
167,35.18,42,43,27,0
67,20.73,71,39,18,0
91,34.6,30,60,17,0
162,27.09,52,38,30,0
59,20.85,44,35,34,0
126,34.49,27,51,12,0
80,20.26,64,57,28,0
151,21.02,39,52,0,0
109,23.92,93,23,10,0
33,25.27,85,43,17,0
100,32.99,89,31,6,0
187,36.64,75,39,18,0
13,32.61,70,27,10,0
67,18.15,51,33,12,0
10,37.0,39,25,21,0
13,27.15,18,57,25,0
128,40.47,37,10,8,0
163,28.05,80,50,35,0
163,44.13,86,24,18,0
5,29.49,85,20,7,0
158,44.63,42,35,13,0
6,19.26,83,25,32,0
80,35.42,51,55,15,0
69,27.45,68,35,14,0
9,41.71,66,52,20,0
